"Issue Type","Issue Key","Summary","Description","Priority","Story Points","Sprint","Epic Name","Epic Link","Status","Labels","Labels","Labels"
"Epic","EP-00","EP-00 Infraestructura y DevOps","Objetivo del Sprint: Establecer la infraestructura y automatizar los despliegues.

Periodo: 21 Sep 2026 - 02 Oct 2026
Referencia: Tabla 14 del documento Capstone.","High","","","Infraestructura y DevOps","","To Do","EP-00","",""
"Epic","EP-01","EP-01 Seguridad, RBAC y Auditoría","Objetivo del Sprint: Habilitar el acceso seguro y la gestion de roles de la empresa.

Periodo: 05 Oct 2026 - 16 Oct 2026
Referencia: Tabla 14 del documento Capstone.","High","","","Seguridad, RBAC y Auditoría","","To Do","EP-01","",""
"Epic","EP-02","EP-02 Producción y Órdenes de Producción","Objetivo del Sprint: Digitalizar el registro en planta y el control de Ordenes de Produccion.

Periodo: 19 Oct 2026 - 30 Oct 2026
Referencia: Tabla 14 del documento Capstone.","High","","","Producción y Órdenes de Producción","","To Do","EP-02","",""
"Epic","EP-03","EP-03 Kárdex de Inventario","Objetivo del Sprint: Sustituir los registros manuales de bodega por un Kardex digital auditable.

Periodo: 02 Nov 2026 - 13 Nov 2026
Referencia: Tabla 14 del documento Capstone.","High","","","Kárdex de Inventario","","To Do","EP-03","",""
"Epic","EP-04","EP-04 Transformación y MRP","Objetivo del Sprint: Conectar la produccion con el inventario y sugerir compras de materiales.

Periodo: 16 Nov 2026 - 27 Nov 2026
Referencia: Tabla 14 del documento Capstone.","High","","","Transformación y MRP","","To Do","EP-04","",""
"Epic","EP-05","EP-05 Comercial y Control de Crédito","Objetivo del Sprint: Automatizar el ciclo de ventas, validacion de creditos y pagos.

Periodo: 30 Nov 2026 - 11 Dic 2026
Referencia: Tabla 14 del documento Capstone.","High","","","Comercial y Control de Crédito","","To Do","EP-05","",""
"Epic","EP-06","EP-06 Tintorería y Empaquetado","Objetivo del Sprint: Estandarizar las recetas de tintoreria y emitir etiquetas de empaque.

Periodo: 14 Dic 2026 - 25 Dic 2026
Referencia: Tabla 14 del documento Capstone.","High","","","Tintorería y Empaquetado","","To Do","EP-06","",""
"Epic","EP-07","EP-07 Despacho y Dashboard Ejecutivo","Objetivo del Sprint: Asegurar despachos con escaner y proveer tableros de control a gerencia.

Periodo: 04 Ene 2027 - 15 Ene 2027
Referencia: Tabla 14 del documento Capstone.","High","","","Despacho y Dashboard Ejecutivo","","To Do","EP-07","",""
"Epic","EP-08","EP-08 Administración y Code Freeze","Objetivo del Sprint: Permitir la autoadministracion de catalogos y congelar el sistema.

Periodo: 18 Ene 2027 - 29 Ene 2027
Referencia: Tabla 14 del documento Capstone.","High","","","Administración y Code Freeze","","To Do","EP-08","",""
"Story","TEX-01","TEX-01 Orquestación de contenedores con Docker Compose","Como desarrollador quiero levantar todo el stack de TexCore con un solo comando para eliminar las diferencias de entorno entre mi equipo y el servidor.

CRITERIOS DE ACEPTACION

* CA-1: Dado un equipo con Docker instalado y sin configuración previa, cuando ejecuto docker compose up, entonces se levantan los contenedores de backend Django, frontend React, base de datos SQL Server 2022 y los tres microservicios FastAPI, y todos alcanzan estado healthy sin intervención manual.
* CA-2: Dado el stack levantado, cuando consulto el estado de los contenedores, entonces ninguno presenta reinicios en bucle ni errores en el log de arranque.
* CA-3: Dado que detengo y vuelvo a levantar el stack, cuando consulto la base de datos, entonces los datos persisten por estar montados en un volumen nombrado.

TRAZABILIDAD

Requisitos: RNF-04
Referencia: TEX-01 del Product Backlog de TexCore","High","5","Sprint 0","","Infraestructura y DevOps","To Do","EP-00","RNF-04",""
"Story","TEX-02","TEX-02 Red de contenedores aislada y comunicación entre servicios","Como desarrollador quiero que los servicios se comuniquen por nombre dentro de una red privada para que ningún puerto interno quede expuesto al exterior.

CRITERIOS DE ACEPTACION

* CA-1: Dado el stack levantado, cuando el backend resuelve el nombre de host de un microservicio, entonces la conexión se establece por la red interna sin pasar por el host.
* CA-2: Dado un intento de conexión directa desde fuera del host al puerto de la base de datos, cuando se ejecuta la conexión, entonces es rechazada por no estar el puerto publicado.

TRAZABILIDAD

Requisitos: RNF-01, RNF-04
Referencia: TEX-02 del Product Backlog de TexCore","High","3","Sprint 0","","Infraestructura y DevOps","To Do","EP-00","RNF-01","RNF-04"
